#Frequency,Eps1,Eps2,Eps1,Eps2
426.838,-410.9343635,103.8337754,5,0.1
427.48,-409.7791737,104.1538359,5,0.1
428.123,-408.6222844,104.1341443,5,0.1
428.766,-407.2966239,103.9498326,5,0.1
429.409,-405.7791804,103.6873521,5,0.1
430.052,-404.059645,103.5321825,5,0.1
430.695,-402.2866933,103.5856096,5,0.1
431.337,-400.5784218,103.7503374,5,0.1
431.98,-398.943798,104.029559,5,0.1
432.623,-397.4139583,104.342508,5,0.1
433.266,-395.9995226,104.7397541,5,0.1
433.909,-394.7442573,105.0572267,5,0.1
434.552,-393.541066,105.2979052,5,0.1
435.194,-392.380964,105.5065209,5,0.1
435.837,-391.2757292,105.6415415,5,0.1
436.48,-390.1916334,105.6907404,5,0.1
437.123,-389.0695201,105.6307337,5,0.1
437.766,-387.8780113,105.5835216,5,0.1
438.409,-386.6982148,105.5387761,5,0.1
439.051,-385.5186517,105.400863,5,0.1
439.694,-384.2228558,105.212452,5,0.1
440.337,-382.7890364,105.0957678,5,0.1
440.98,-381.3321674,105.1858346,5,0.1
441.623,-380.0304526,105.3796459,5,0.1
442.265,-378.8813589,105.5024018,5,0.1
442.908,-377.768632,105.5054042,5,0.1
443.551,-376.5846801,105.3876518,5,0.1
444.194,-375.2689863,105.2965985,5,0.1
444.837,-373.9058059,105.3110882,5,0.1
445.48,-372.5519518,105.3670482,5,0.1
446.122,-371.2432103,105.5662822,5,0.1
446.765,-370.0489451,105.6820559,5,0.1
447.408,-368.8044331,105.7707912,5,0.1
448.051,-367.5125708,105.9181005,5,0.1
448.694,-366.2297637,106.1909066,5,0.1
449.337,-365.0748969,106.5990933,5,0.1
449.979,-364.1576474,107.0256988,5,0.1
450.622,-363.4407329,107.244859,5,0.1
451.265,-362.7192089,107.209133,5,0.1
451.908,-361.841632,107.0161997,5,0.1
452.551,-360.7463109,106.8061691,5,0.1
453.194,-359.526912,106.8269939,5,0.1
453.836,-358.4149524,106.9756626,5,0.1
454.479,-357.4638789,107.1947511,5,0.1
455.122,-356.6896324,107.2459408,5,0.1
455.765,-355.8661928,107.0676304,5,0.1
456.408,-354.8477449,106.8378592,5,0.1
457.051,-353.6705808,106.6945173,5,0.1
457.693,-352.4581417,106.7756092,5,0.1
458.336,-351.4251792,107.0169765,5,0.1
458.979,-350.641044,107.1700211,5,0.1
459.622,-349.9453201,107.0812289,5,0.1
460.265,-349.1563117,106.7869651,5,0.1
460.907,-348.1579255,106.3533243,5,0.1
461.55,-346.8831768,105.9876551,5,0.1
462.193,-345.4560881,105.8635888,5,0.1
462.836,-344.0757738,105.9929612,5,0.1
463.479,-342.8728802,106.2402496,5,0.1
464.122,-341.831146,106.4419628,5,0.1
464.764,-340.8447045,106.5482656,5,0.1
465.407,-339.7918775,106.5414214,5,0.1
466.05,-338.5976652,106.6169189,5,0.1
466.693,-337.4015976,106.8795274,5,0.1
467.336,-336.3668469,107.2539583,5,0.1
467.979,-335.5068613,107.5566672,5,0.1
468.621,-334.7114513,107.7343673,5,0.1
469.264,-333.8983118,107.785834,5,0.1
469.907,-332.9877345,107.7088754,5,0.1
470.55,-331.8563481,107.5565888,5,0.1
471.193,-330.433699,107.5555884,5,0.1
471.836,-328.8596813,107.922473,5,0.1
472.478,-327.3719724,108.6605454,5,0.1
473.121,-326.1350754,109.7053977,5,0.1
473.764,-325.220903,110.838028,5,0.1
474.407,-324.5509407,112.0225156,5,0.1
475.05,-324.1178774,113.2225024,5,0.1
475.693,-323.9422095,114.4909375,5,0.1
476.335,-324.152147,115.7521576,5,0.1
476.978,-324.7800145,116.7967499,5,0.1
477.621,-325.7267509,117.5266442,5,0.1
478.264,-326.8944039,117.8022531,5,0.1
478.907,-328.1253685,117.6424572,5,0.1
479.549,-329.3462088,117.0015491,5,0.1
480.192,-330.3492816,115.8023239,5,0.1
480.835,-330.9363543,114.3716767,5,0.1
481.478,-331.1951383,112.728741,5,0.1
482.121,-331.0771325,111.0490908,5,0.1
482.764,-330.6721455,109.347424,5,0.1
483.406,-329.9671025,107.6583317,5,0.1
484.049,-328.8948481,105.989006,5,0.1
484.692,-327.4488566,104.6705896,5,0.1
485.335,-325.8904078,103.7126982,5,0.1
485.978,-324.3682054,103.1415753,5,0.1
486.621,-323.0597795,102.8210753,5,0.1
487.263,-322.045041,102.607356,5,0.1
487.906,-321.2722793,102.1883566,5,0.1
488.549,-320.4499346,101.5309326,5,0.1
